timestamp,ADC0,ADC1,ADC2,ADC3,Temp C,TDS ppm,Current_mA,GPRS,Network,Signal,Battery,Reg Status,Location,Operator,Modem,Time
2025-10-19 20:12:12,2,13411,2544,2503,22.5625,0.844524,70.60798,False,True,-78 dBm,4065 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:30+32"
2025-10-19 20:20:23,8,13412,2547,2509,22.5625,0.844524,74.66238,False,True,-78 dBm,4054 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:13+32"
2025-10-19 20:21:18,7,13407,2546,2500,22.5625,0.928925,64.52767,False,True,-76 dBm,4049 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 20:25:34,17,13466,2519,2472,22.5625,4.633256,150.6754,False,True,-74 dBm,4016 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 20:26:30,20,13476,2507,2476,22.5625,2.025275,147.6352,False,True,-74 dBm,3988 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 20:27:07,12,13478,2494,2505,22.5625,1.266433,148.6482,False,True,-70 dBm,4038 mV - not Charging,Registered home,,D1,SIM800 R14.18,"04/01/01,00:00:52+32"
2025-10-19 20:30:07,26,13617,2513,2487,22.625,8.058214,282.4319,False,True,-78 dBm,4032 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 20:36:41,21,13614,2488,2497,22.6875,2.943979,287.5006,False,True,-76 dBm,4049 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:05:09+32"
2025-10-19 20:40:39,20,13611,2529,2483,22.6875,1.851842,279.3918,False,True,-76 dBm,4153 mV - not Charging,Registered home,,D1,SIM800 R14.18,"04/01/01,00:06:53+32"
2025-10-19 20:42:08,17,13612,2526,2496,22.6875,1.515482,282.4319,False,True,-78 dBm,4147 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 20:52:37,15,13615,2550,2497,22.625,3.704004,279.3918,False,True,-76 dBm,4164 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 21:03:04,18,13604,2517,2507,22.625,50.616,289.5278,False,True,-76 dBm,4158 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 21:13:32,14,13619,2534,2496,22.625,1.517471,293.5809,False,True,-74 dBm,4147 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 21:16:21,75,13602,2528,2521,22.6875,12.86869,286.4863,False,True,-70 dBm,4125 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 21:17:48,18,13623,2530,2472,22.6875,1.935909,282.4319,False,True,-76 dBm,4010 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 21:18:24,21,13605,2515,2483,22.6875,1.935909,271.2842,False,True,-72 dBm,4065 mV - not Charging,Registered home,,D1,SIM800 R14.18,"04/01/01,00:00:52+32"
2025-10-19 21:28:19,20,13602,2529,2471,22.75,1.933375,283.4462,False,True,-70 dBm,4175 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 21:29:56,23,13603,2495,2490,22.8125,1.847001,280.406,False,True,-80 dBm,4180 mV - not Charging,Registered home,,D1,SIM800 R14.18,"04/01/01,00:01:55+32"
2025-10-19 21:38:44,24,13610,2504,2480,22.875,30.68296,283.4462,False,True,-74 dBm,4147 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 21:49:11,119,13618,2486,2505,22.875,21.59864,277.3646,False,True,-74 dBm,4180 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 21:59:38,21,13618,2520,2475,22.9375,1.758547,288.5135,False,True,-76 dBm,4191 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 22:10:05,21,13617,2536,2479,22.9375,1.842185,290.5407,False,True,-74 dBm,4191 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 22:20:34,16,13615,2515,2492,22.9375,29.75662,270.27,False,True,-76 dBm,3851 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 22:34:37,15,13609,2511,2487,23,1.756258,290.5407,False,True,-74 dBm,4147 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:27+32"
2025-10-19 22:41:28,26,13612,2525,2471,23.0625,2.421074,275.3374,False,True,-74 dBm,4191 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 22:54:18,18,13609,2513,2501,23.0625,1.670544,278.3788,False,True,-74 dBm,4142 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 23:02:23,15,13621,2518,2523,23.0625,19.80577,281.419,False,True,-74 dBm,4142 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 23:12:50,25,13613,2506,2520,23.0625,27.26306,282.4319,False,True,-66 dBm,4125 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 23:25:26,17,13620,2512,2522,23.125,25.211,288.5135,False,True,-70 dBm,4142 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-19 23:35:53,17,13622,2512,2503,23.125,1.835007,283.4462,False,True,-70 dBm,4136 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-19 23:48:47,19,13622,2516,2498,23.125,2.584395,288.5135,False,True,-72 dBm,3994 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:13+32"
2025-10-19 23:56:47,21,13619,2529,2459,23.1875,2.414794,286.4863,False,True,-70 dBm,4131 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-20 00:07:16,32,13615,2462,2487,23.1875,30.64419,284.4591,False,True,-74 dBm,4081 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-20 00:17:43,19,13601,2551,2485,23.1875,1.582989,289.5278,False,True,-74 dBm,4131 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-20 00:28:10,21,13616,2499,2526,23.1875,1.749424,296.6224,False,True,-74 dBm,4125 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-20 00:38:38,19,13625,2543,2500,23.1875,1.582989,283.4462,False,True,-70 dBm,4049 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-20 01:20:27,22,13622,2509,2494,23.1875,1.832627,285.4734,False,True,-78 dBm,4076 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-20 01:30:54,33,13616,2554,2534,21.625,14.0936,291.5537,False,True,-70 dBm,4049 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:11+32"
2025-10-20 01:41:32,6,13613,2565,2529,21.1875,0.782743,279.3918,False,True,-72 dBm,4131 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:17+32"
2025-10-20 01:42:09,2,13610,2553,2531,21.1875,0.782743,283.4462,False,True,-68 dBm,3988 mV - not Charging,Registered home,,D1,SIM800 R14.18,"04/01/01,00:01:02+32"
2025-10-20 01:51:52,6,13607,2561,2529,21.0625,0.697699,282.4319,False,True,-72 dBm,4125 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:13+32"
2025-10-20 02:02:18,7,13607,2560,2534,21,0.698647,284.4591,False,True,-70 dBm,4109 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:13+32"
2025-10-20 02:12:45,5,13618,2554,2538,20.9375,2.009658,295.6081,False,True,-70 dBm,4125 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-20 02:23:13,3,13616,2552,2525,20.9375,1.311232,287.5006,False,True,-72 dBm,4120 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
2025-10-20 02:35:02,5,13614,2544,2531,20.875,1.225552,283.4462,False,True,-74 dBm,4114 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:13+32"
2025-10-20 02:44:06,6,13607,2558,2532,20.875,0.70055,281.419,False,True,-72 dBm,4120 mV - not Charging,Registered home,,D1,ATI  SIM800 R14.18,"04/01/01,00:00:12+32"
