timestamp,ADC0,ADC1,ADC2,ADC3,temperature,Battery-Voltage,Signal-Quality
2025-10-08 18:24:42,2598,13541,35,2469,22.1875,,
2025-10-08 18:27:43,2539,13580,30,2439,22.125,,
2025-10-08 18:27:56,2562,13578,34,2423,22.125,,
2025-10-08 18:28:09,2575,13578,32,2439,22.125,,
2025-10-08 18:28:21,2559,13581,35,2422,22.125,,
2025-10-08 18:28:34,2571,13579,32,2433,22.125,,
2025-10-08 18:29:04,2705,13594,24,2563,22.125,,
2025-10-08 18:29:40,2698,13593,23,2575,22.0625,,
2025-10-08 18:30:16,2696,13598,24,2555,22.125,,
2025-10-08 18:30:53,2687,13596,22,2572,22.125,,
2025-10-08 18:31:29,2692,13592,22,2555,22.0625,,
2025-10-08 18:32:06,2696,13600,23,2568,22,,
2025-10-08 18:32:42,2689,13594,24,2557,22.0625,,
2025-10-08 18:33:19,2687,13594,20,2569,22,,
2025-10-08 18:36:47,2518,13578,35,2419,22,3769 mV - not Charging,< -115 dBm
2025-10-08 18:37:11,2542,13574,32,2428,22.0625,3769 mV - not Charging,-84 dBm
2025-10-08 18:37:36,2546,13578,36,2429,22,3769 mV - not Charging,-86 dBm
2025-10-08 18:38:43,2557,13543,39,2469,22,,
2025-10-08 18:40:53,2577,13548,38,2485,22,,
2025-10-08 18:43:05,2592,13545,35,2489,21.9375,,
2025-10-08 18:45:26,3157,13636,3009,6506,22,,
2025-10-08 18:47:25,13,13619,2496,2478,22.0625,,
2025-10-08 18:49:36,1301,13619,2824,2804,22.0625,,
2025-10-08 18:51:46,1305,13620,2828,2806,22.0625,,
2025-10-08 18:53:56,1306,13627,2845,2818,22.125,,
2025-10-08 18:56:08,1307,13623,2854,2826,22.125,,
2025-10-08 18:58:19,1310,13625,2845,2813,22.125,,
2025-10-08 19:00:28,1308,13685,2860,2816,22.1875,,
2025-10-08 19:02:39,1308,13624,2862,2828,22.0625,,
2025-10-08 19:04:51,1309,13626,2855,2821,22.0625,,
2025-10-08 19:05:51,1308,13661,2870,2826,22,,
2025-10-08 19:06:04,1310,13664,2862,2823,22.0625,,
2025-10-08 19:06:17,1306,13662,2861,2826,22.0625,,
2025-10-08 19:06:30,1314,13659,2858,2829,22.0625,,
2025-10-08 19:06:42,1313,13667,2862,2826,22.0625,,
2025-10-08 19:06:55,1313,13654,2854,2821,22.0625,,
2025-10-08 19:07:08,1312,13659,2852,2815,22.0625,,
2025-10-08 19:07:21,1314,13665,2861,2821,22.0625,,
2025-10-08 19:07:34,1313,13660,2870,2828,22.0625,,
2025-10-08 19:07:46,1308,13657,2857,2828,22.0625,,
2025-10-08 19:07:59,1312,13656,2868,2829,22.0625,,
2025-10-08 19:08:13,1311,13656,2859,2829,22,,
2025-10-08 19:08:25,1313,13658,2866,2831,22,,
2025-10-08 19:08:38,1308,13664,2868,2831,21.9375,,
2025-10-08 19:08:50,1309,13657,2862,2829,21.9375,,
2025-10-08 19:09:03,1309,13664,2863,2825,22,,
2025-10-08 19:09:16,1310,13658,2853,2823,21.9375,,
2025-10-08 19:09:29,1309,13665,2862,2831,21.9375,,
2025-10-08 19:09:42,1311,13665,2862,2828,21.9375,,
2025-10-08 19:09:55,1312,13661,2864,2825,21.9375,,
2025-10-08 19:10:08,1314,13625,2861,2824,21.9375,,
2025-10-08 19:10:21,1310,13663,2857,2824,21.9375,,
2025-10-08 19:10:33,1308,13660,2861,2825,21.9375,,
2025-10-08 19:10:46,1311,13658,2862,2829,21.9375,,
2025-10-08 19:12:03,1307,13661,2853,2814,21.875,3769 mV - not Charging,-80 dBm
